Track_Name,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
無底洞 - Live at EasON AIR,Eason Chan,0.673,0.497,9,-9.759,1,0.039,0.278,1.46e-06,0.255,0.378,120.031
十面埋伏,Eason Chan,0.542,0.465,0,-6.334,1,0.0298,0.198,0.0,0.112,0.428,138.017
大開眼戒,Eason Chan,0.483,0.462,4,-7.247,1,0.0273,0.264,0.0,0.117,0.263,115.326
十面埋伏,Eason Chan,0.559,0.474,0,-6.359,1,0.0287,0.231,0.0,0.105,0.399,138.031
我的快樂時代,Eason Chan,0.582,0.442,2,-7.318,1,0.0266,0.625,1.27e-06,0.205,0.23,90.025
孤勇者 - Live 版 /《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,0.456,0.488,8,-10.64,0,0.213,0.258,0.0,0.259,0.354,129.887
Shall We Talk,Eason Chan,0.317,0.483,0,-7.994,1,0.0314,0.658,0.0,0.103,0.505,159.223
漸漸,Eason Chan;eason and the duo band,0.646,0.401,3,-8.362,1,0.027,0.617,0.0,0.186,0.29,109.978
綿綿,Eason Chan,0.47,0.276,7,-9.669,1,0.0338,0.877,0.0,0.111,0.292,151.959
夕陽無限好,Eason Chan,0.589,0.584,10,-6.224,1,0.0263,0.406,0.0,0.327,0.317,82.152
七百年後,Eason Chan,0.484,0.625,1,-5.241,1,0.0334,0.672,0.0,0.0796,0.308,140.051
失憶蝴蝶,Eason Chan,0.288,0.388,11,-9.664,0,0.0364,0.849,1.71e-06,0.0889,0.277,133.71
你的背包,Eason Chan,0.571,0.554,4,-7.539,1,0.0297,0.337,0.000118,0.0878,0.334,125.989
歲月如歌,Eason Chan,0.578,0.441,3,-6.738,1,0.0281,0.815,7.35e-06,0.106,0.456,139.921
今日,Eason Chan,0.555,0.498,7,-7.94,0,0.0285,0.16,0.0,0.192,0.187,136.962
冷雨 - Live at EasON AIR,Eason Chan,0.728,0.621,10,-8.254,1,0.213,0.254,0.000239,0.0404,0.871,165.995
致明日的舞,Eason Chan,0.549,0.618,0,-7.961,1,0.0309,0.842,0.0,0.113,0.474,111.996
粵語殘片,Eason Chan,0.529,0.667,2,-6.194,1,0.0328,0.382,0.0,0.1,0.331,143.925
約定,Eason Chan,0.377,0.272,7,-14.396,1,0.0442,0.768,7.57e-06,0.471,0.232,78.867
你有自己一套 - Live at EasON AIR,Eason Chan,0.658,0.541,5,-10.202,1,0.04,0.613,0.000629,0.263,0.182,101.984
孤獨患者(國),Eason Chan,0.348,0.497,8,-6.496,1,0.0328,0.783,0.0,0.0643,0.207,136.309
與我常在,Eason Chan,0.477,0.534,4,-7.493,1,0.029,0.65,0.0,0.176,0.186,162.182
白玫瑰,Eason Chan,0.492,0.529,9,-7.545,0,0.0334,0.585,0.00114,0.13,0.35,127.855
囍帖街,Eason Chan,0.356,0.365,4,-10.948,1,0.0406,0.708,8.26e-06,0.718,0.167,134.458
時光倒流二十年,Eason Chan,0.434,0.27,8,-10.16,1,0.0303,0.673,0.0,0.103,0.319,139.951
兄妹,Eason Chan,0.557,0.432,3,-7.072,1,0.027,0.81,0.0,0.105,0.418,140.006
幸福摩天輪,Eason Chan,0.656,0.342,0,-8.319,1,0.0279,0.252,0.0,0.0721,0.368,91.996
今天只做一件事,Eason Chan,0.46,0.372,8,-8.851,1,0.0456,0.834,0.0,0.135,0.595,203.94
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Who (feat. BTS),Lauv;BTS,0.632,0.339,11,-7.983,0,0.0337,0.546,0.0,0.104,0.0969,141.642
Kiss and Make Up,Dua Lipa;BLACKPINK,0.675,0.729,8,-4.383,1,0.146,0.0557,0.0,0.189,0.63,99.986
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Blacklist,Exodus,0.534,0.969,3,-3.378,1,0.0535,0.000359,0.564,0.269,0.598,75.005
The Toxic Waltz,Exodus,0.262,0.988,11,-4.922,0,0.253,0.00655,0.897,0.132,0.227,91.319
Faster Than You'll Ever Live to Be,Exodus,0.136,0.946,6,-5.112,0,0.135,2.87e-06,0.404,0.0562,0.467,185.396
Seeds of Hate,Exodus,0.209,0.947,11,-5.313,1,0.109,2.22e-06,0.197,0.247,0.23,89.54
Climax - Dj Exos remix 1,ONYVAA;Mattia Trani;Dj Exos,0.604,0.95,11,-7.591,0,0.102,9.78e-05,0.89,0.103,0.182,140.027
Climax - Dj Exos remix 2,ONYVAA;Mattia Trani;Dj Exos,0.501,0.947,8,-10.126,0,0.0632,0.000674,0.91,0.11,0.612,140.0
Break The Silence (feat. RBBTS),Seven Lions;MitiS;RBBTS,0.491,0.738,11,-7.312,1,0.0705,0.271,0.0022,0.109,0.172,99.988
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048
Who (feat. BTS),Lauv;BTS,0.632,0.339,11,-7.983,0,0.0337,0.546,0.0,0.104,0.0969,141.642
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
SUGA's Interlude,Halsey;SUGA;BTS,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836
Blacklist,Exodus,0.534,0.969,3,-3.378,1,0.0535,0.000359,0.564,0.269,0.598,75.005
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
Waste It On Me,Steve Aoki;BTS,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
SUGA's Interlude,Halsey;SUGA;BTS,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836
SUGA's Interlude,Halsey;SUGA;BTS,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836
SUGA's Interlude,Halsey;SUGA;BTS,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836
夜に駆ける,YOASOBI,0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041
KICK BACK,Kenshi Yonezu,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921
夜に駆ける,YOASOBI,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025
ピースサイン,Kenshi Yonezu,0.593,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003
たぶん,YOASOBI,0.747,0.666,5,-6.395,1,0.0324,0.146,0.000912,0.0981,0.731,90.008
怪物,YOASOBI,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935
たぶん,YOASOBI,0.748,0.661,5,-6.702,1,0.0334,0.157,0.00102,0.101,0.743,90.003
One Last Kiss,Hikaru Utada,0.592,0.54,8,-11.249,0,0.0587,0.692,0.00187,0.0965,0.354,111.955
祝福,YOASOBI,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045
怪物,YOASOBI,0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959
群青,YOASOBI,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991
Lemon,Kenshi Yonezu,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957
Into The Night,YOASOBI,0.647,0.859,0,-5.558,0,0.0295,0.00496,0.0,0.312,0.78,130.024
ハルジオン,YOASOBI,0.686,0.902,0,-2.657,0,0.034,0.0591,0.0,0.333,0.901,130.02
群青,YOASOBI,0.719,0.87,10,-3.073,1,0.0472,0.321,0.0,0.187,0.732,134.979
あの夢をなぞって,YOASOBI,0.537,0.793,8,-3.446,1,0.04,0.217,0.000361,0.143,0.73,180.029
アンコール,YOASOBI,0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999
あの夢をなぞって,YOASOBI,0.534,0.794,8,-3.738,1,0.0402,0.334,0.00093,0.159,0.711,179.976
Monster,YOASOBI,0.615,0.868,1,-3.571,1,0.105,0.0681,0.0,0.234,0.69,170.054
もしも命が描けたら,YOASOBI,0.698,0.795,10,-4.516,0,0.0337,0.175,0.000752,0.158,0.356,99.987
Into The Night,YOASOBI,0.638,0.868,0,-5.701,0,0.0292,0.0112,0.0,0.342,0.824,130.046
ミスター,YOASOBI,0.732,0.933,1,-3.51,0,0.0548,0.0674,3.67e-05,0.202,0.611,119.971
優しい彗星,YOASOBI,0.715,0.722,5,-4.62,1,0.0348,0.197,0.0,0.114,0.522,89.995
好きだ,YOASOBI,0.771,0.935,4,-3.366,0,0.0327,0.174,1.06e-06,0.404,0.86,120.032
Lemon,Kenshi Yonezu,0.532,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.983
ハルジオン,YOASOBI,0.687,0.873,8,-3.852,1,0.0335,0.0545,0.0,0.318,0.884,130.024
もう少しだけ,YOASOBI,0.675,0.746,8,-5.531,1,0.0288,0.12,0.0,0.121,0.533,99.99
三原色,YOASOBI,0.666,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014
ラブレター,YOASOBI,0.662,0.86,7,-3.534,1,0.0286,0.447,0.0,0.339,0.69,100.016
First Love,Hikaru Utada,0.438,0.434,7,-8.37,1,0.0371,0.122,0.0,0.15,0.195,179.913
Romance,YOASOBI,0.643,0.945,1,-2.095,0,0.0445,0.0889,0.0,0.271,0.853,130.001
