Track_Name,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Anpanman,BTS,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989
Silver Spoon,BTS,0.65,0.879,9,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895
Moon,BTS,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87
Jump,BTS,0.495,0.974,7,-0.947,0,0.282,0.0349,0.0,0.44,0.763,102.077
Just One Day,BTS,0.685,0.713,6,-4.705,0,0.266,0.179,0.0,0.377,0.301,95.092
Like,BTS,0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939
Love Maze,BTS,0.637,0.876,9,-4.652,1,0.0618,0.0483,0.0,0.0728,0.759,149.93
Best Of Me,BTS,0.655,0.756,8,-4.388,1,0.07,0.0298,0.0,0.396,0.469,121.936
Telepathy,BTS,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994
Boy in Luv,BTS,0.491,0.947,0,-2.252,1,0.306,0.00261,0.0,0.34,0.474,166.236
Ready For Love,BLACKPINK,0.564,0.682,6,-6.688,1,0.113,0.0146,0.0,0.123,0.551,107.597
Stay Gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017
Dionysus,BTS,0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084
Dope,BTS,0.595,0.89,10,-3.109,0,0.245,0.0486,0.0,0.32,0.62,154.071
Answer : Love Myself,BTS,0.568,0.793,1,-3.749,1,0.0406,0.189,0.0,0.111,0.45,108.051
UGH!,BTS,0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.996
MIC Drop,BTS,0.667,0.889,6,-4.851,1,0.0917,0.00912,0.0,0.0816,0.541,169.961
Lie,BTS,0.541,0.779,6,-5.581,0,0.033,0.00338,0.0,0.177,0.501,94.069
Bet You Wanna (Feat. Cardi B),BLACKPINK;Cardi B,0.541,0.688,7,-5.184,1,0.198,0.00479,0.0,0.0733,0.649,109.843
Your eyes tell,BTS,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923
So What,BTS,0.657,0.883,9,-4.294,0,0.0733,0.0238,0.0,0.0481,0.461,129.943
Epilogue: Young Forever,BTS,0.606,0.815,5,-3.818,0,0.232,0.04,0.0,0.119,0.386,88.054
Magic Shop,BTS,0.531,0.661,1,-5.836,1,0.0907,0.103,0.0,0.0779,0.278,149.934
Black Swan,BTS,0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024
House of Cards - Full Length Edition,BTS,0.367,0.668,2,-4.484,0,0.052,0.336,0.0,0.147,0.384,104.961
Trivia 轉 : Seesaw,BTS,0.707,0.791,5,-4.483,0,0.035,0.179,0.0,0.102,0.674,106.985
Fly To My Room,BTS,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91
Make It Right,BTS,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782
I'm Fine,BTS,0.511,0.84,11,-2.781,0,0.103,0.00852,0.0,0.346,0.303,87.605
Heartbeat (BTS World Original Soundtrack),BTS,0.437,0.716,5,-4.306,1,0.05,0.39,0.0,0.208,0.307,170.094
Dope,BTS,0.579,0.896,10,-2.781,0,0.225,0.0272,1.02e-06,0.352,0.678,153.991
Stay,BTS,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904
"Kiss and Make Up - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,0.65,0.697,0,-9.582,0,0.272,0.13,0.0,0.862,0.551,99.771
134340,BTS,0.665,0.687,11,-6.466,0,0.0547,0.155,9.28e-05,0.173,0.651,106.023
Dimple,BTS,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872
IDOL,BTS;Nicki Minaj,0.708,0.857,6,-3.394,0,0.0827,0.00219,0.0,0.103,0.449,126.051
Paradise,BTS,0.551,0.828,5,-5.523,1,0.352,0.214,0.0,0.0571,0.928,139.662
Really,BLACKPINK,0.696,0.881,1,-2.082,1,0.104,0.0235,0.0,0.277,0.947,142.019
Yeah Yeah Yeah,BLACKPINK,0.732,0.555,1,-7.902,0,0.034,0.00522,4.65e-06,0.0586,0.65,124.011
Jamais Vu,BTS,0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0
Kick It,BLACKPINK,0.765,0.787,1,-3.647,0,0.0445,0.0156,0.0,0.0736,0.381,124.949
Anpanman,BTS,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989
No More Dream,BTS,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898
Danger,BTS,0.738,0.868,1,-3.363,1,0.0702,0.000907,0.000209,0.275,0.377,111.991
Outro : Ego,BTS,0.808,0.903,0,-3.106,1,0.0957,0.0121,0.000248,0.0993,0.473,116.988
Dis-ease,BTS,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085
See U Later,BLACKPINK,0.74,0.926,9,-3.965,0,0.112,0.0376,0.0,0.582,0.571,106.987
Let Go,BTS,0.558,0.863,4,-3.53,1,0.178,0.17,0.0,0.289,0.388,173.908
FAKE LOVE,BTS,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502
Interlude : Shadow,BTS,0.384,0.798,9,-6.439,0,0.434,0.115,0.0,0.181,0.146,149.854
Film out,BTS,0.503,0.71,10,-6.382,1,0.085,0.297,0.0,0.329,0.293,81.932
21st Century Girl,BTS,0.716,0.906,2,-3.539,1,0.0719,0.00424,0.0,0.0547,0.763,101.029
War of Hormone,BTS,0.612,0.993,9,-1.895,1,0.24,0.116,0.0,0.307,0.488,98.004
Boy With Luv (Feat. Halsey),BTS;Halsey,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
Monster,EXO,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0
Intro: Singularity,BTS,0.775,0.272,1,-9.126,0,0.091,0.56,0.00278,0.112,0.198,103.991
Airplane pt.2,BTS,0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979
Coffee,BTS,0.656,0.798,0,-6.608,1,0.103,0.00862,0.0,0.321,0.573,92.031
Look Here,BTS,0.863,0.854,4,-4.564,0,0.0893,0.0418,0.00152,0.0551,0.784,119.996
Don't Leave Me,BTS,0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012
Spine Breaker,BTS,0.679,0.927,0,-1.058,1,0.15,0.164,0.0,0.437,0.861,93.989
Blood Sweat & Tears,BTS,0.574,0.882,0,-4.08,0,0.121,0.0245,0.0,0.354,0.612,92.994
Dionysus,BTS,0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084
"SO HOT - THEBLACKLABEL REMIX BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,0.783,0.809,1,-10.0,0,0.221,0.0588,1e-05,0.515,0.814,140.025
All Night (BTS World Original Soundtrack) [Pt. 3],BTS;Juice WRLD,0.725,0.706,5,-4.766,1,0.121,0.193,0.0,0.109,0.667,120.042
The Eve,EXO,0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104
Stigma,BTS,0.566,0.475,0,-5.556,0,0.089,0.148,0.0,0.139,0.335,136.442
Typa Girl,BLACKPINK,0.917,0.596,7,-7.378,1,0.0914,0.0555,0.0,0.667,0.511,131.96
Go Go,BTS,0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081
Hope Not,BLACKPINK,0.556,0.423,4,-4.998,0,0.0274,0.441,0.0,0.0867,0.179,110.086
I NEED U,BTS,0.482,0.858,5,-4.169,0,0.069,0.0218,0.0,0.244,0.737,158.075
Outro: Wings,BTS,0.651,0.903,11,-3.117,0,0.129,0.00503,0.0,0.0875,0.658,125.032
Awake,BTS,0.35,0.498,3,-6.589,1,0.0332,0.023,1.99e-06,0.269,0.34,142.803
FAKE LOVE,BTS,0.522,0.714,2,-4.727,0,0.0461,0.00257,0.0,0.304,0.357,154.904
Filter,BTS,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043
No More Dream,BTS,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898
The Truth Untold,BTS;Steve Aoki,0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016
DDU-DU DDU-DU (Remix),BLACKPINK,0.68,0.906,11,-6.195,0,0.0734,0.0341,7.83e-05,0.077,0.68,145.05
Begin,BTS,0.566,0.842,9,-5.222,0,0.0442,0.00357,0.000253,0.141,0.308,131.05
Spring Day,BTS,0.538,0.831,8,-3.735,1,0.0353,0.00708,1.96e-06,0.109,0.461,106.993
MIC Drop,BTS,0.667,0.889,6,-4.851,1,0.0917,0.00912,0.0,0.0816,0.541,169.961
Euphoria,BTS,0.635,0.79,2,-4.897,1,0.0336,0.404,0.0,0.0919,0.577,104.936
Lights,BTS,0.607,0.636,5,-5.605,1,0.0324,0.179,0.0,0.176,0.421,98.997
Trivia 承 : Love,BTS,0.761,0.761,5,-5.721,0,0.0899,0.242,0.0,0.103,0.484,121.971
Life Goes On,BTS,0.576,0.698,1,-6.544,1,0.0369,0.00848,0.0,0.367,0.462,81.028
DNA,BTS,0.595,0.754,1,-4.527,0,0.0554,0.0245,0.0,0.0726,0.672,129.951
Boy In Luv,BTS,0.492,0.931,9,-3.837,0,0.297,0.00244,0.0,0.353,0.444,166.071
Crystal Snow,BTS,0.618,0.766,3,-4.507,1,0.0323,0.117,0.0,0.121,0.448,113.997
Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0933,0.737,114.044
Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS;Charli XCX,0.735,0.74,0,-3.837,0,0.0519,0.0967,0.0,0.101,0.541,141.948
Intro: Serendipity,BTS,0.477,0.581,8,-8.795,1,0.119,0.523,0.0,0.201,0.282,129.571
Jamais Vu,BTS,0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0
Respect,BTS,0.661,0.838,0,-4.806,1,0.116,0.00491,0.0,0.287,0.526,91.463
Lights,BTS,0.608,0.644,5,-5.588,1,0.0314,0.156,0.0,0.124,0.431,99.005
Trivia 起 : Just Dance,BTS,0.723,0.906,1,-4.777,0,0.281,0.0929,0.0,0.0771,0.393,125.023
IDOL,BTS,0.733,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.42,126.035
We Are Bulletproof Pt.2,BTS,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32e-06,0.134,0.868,144.02
Boyz with Fun,BTS,0.704,0.96,1,-2.606,0,0.192,0.0808,0.0,0.383,0.751,116.024
Ko Ko Bop,EXO,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983
ON,BTS,0.577,0.811,9,-5.146,0,0.117,0.111,0.0,0.346,0.456,105.966
2! 3!,BTS,0.442,0.928,7,-4.096,1,0.207,0.0257,0.0,0.1,0.601,169.847
Hold Me Tight,BTS,0.622,0.728,6,-5.111,1,0.286,0.0511,0.0,0.171,0.394,139.994
RUN,BTS,0.558,0.856,11,-3.815,0,0.0531,0.00153,0.0,0.0979,0.53,132.89
N.O,BTS,0.597,0.909,11,-4.5,0,0.16,0.0443,0.0,0.374,0.564,146.87
BOOMBAYAH - Japanese Version,BLACKPINK,0.748,0.868,5,-2.296,0,0.0533,0.0225,4.85e-06,0.367,0.513,124.952
Intro : Persona,BTS,0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411
Best Of Me,BTS,0.655,0.756,8,-4.388,1,0.07,0.0298,0.0,0.396,0.469,121.936
Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997
WHISTLE - Acoustic Ver.,BLACKPINK,0.844,0.462,1,-5.969,0,0.0421,0.804,0.0,0.0923,0.636,102.94
BTS Cypher 4,BTS,0.817,0.797,1,-4.395,0,0.0839,0.00533,7.77e-06,0.0551,0.361,119.978
Moon,BTS,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.219,0.64,141.87
Danger,BTS,0.734,0.848,1,-4.433,1,0.102,0.000913,0.000247,0.256,0.37,112.021
Singularity,BTS,0.775,0.272,1,-9.126,0,0.091,0.56,0.00278,0.112,0.198,103.991
Autumn Leaves,BTS,0.619,0.804,10,-3.301,0,0.0424,0.0135,0.0,0.127,0.314,104.978
Intro : Persona,BTS,0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411
Intro: Boy Meets Evil,BTS,0.573,0.89,5,-3.53,0,0.214,0.0212,0.0,0.132,0.242,130.251
ON (Feat. Sia),BTS;Sia,0.591,0.848,9,-4.396,0,0.0828,0.137,0.0,0.372,0.385,105.924
I Need U,BTS,0.485,0.897,5,-2.383,0,0.0678,0.0184,0.0,0.296,0.649,78.851
FAKE LOVE - Rocking Vibe Mix,BTS,0.466,0.804,2,-4.009,0,0.0392,0.0573,0.0,0.432,0.352,154.901
DDU-DU DDU-DU (Live),BLACKPINK,0.563,0.902,11,-4.634,0,0.194,0.0184,5.2e-06,0.368,0.364,139.939
Intro : Persona,BTS,0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411
DDU-DU DDU-DU - Japanese Version,BLACKPINK,0.703,0.845,11,-3.479,0,0.0682,0.0296,0.0,0.213,0.428,139.936
Lose Control,JJ Lin,0.56,0.75,0,-5.885,1,0.0816,0.223,0.427,0.204,0.279,100.077
青花瓷,Jay Chou,0.689,0.497,11,-7.855,0,0.0251,0.221,0.0,0.108,0.543,108.01
一路向北,Jay Chou,0.456,0.617,5,-6.252,1,0.0273,0.0133,5.95e-05,0.116,0.3,133.917
晴天,Jay Chou,0.547,0.567,7,-7.295,1,0.0242,0.276,0.000548,0.104,0.399,137.13
夜曲,Jay Chou,0.674,0.649,1,-5.869,1,0.0451,0.285,0.0585,0.226,0.6,86.985
七里香,Jay Chou,0.483,0.576,0,-6.911,0,0.028,0.382,0.00011,0.278,0.49,142.132
珊瑚海,Jay Chou;Lara Liang,0.459,0.565,8,-5.537,1,0.0274,0.773,0.0,0.135,0.149,145.988
最偉大的作品,Jay Chou,0.622,0.58,7,-7.295,0,0.0595,0.501,0.00848,0.104,0.23,160.011
孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,0.615,0.535,8,-6.847,0,0.032,0.63,0.0,0.0907,0.293,130.025
告白氣球,Jay Chou,0.59,0.572,11,-7.658,1,0.0379,0.192,0.0,0.109,0.448,179.989
還在流浪,Jay Chou,0.624,0.549,1,-7.4,1,0.0329,0.109,0.000499,0.11,0.115,165.991
紅顏如霜,Jay Chou,0.704,0.599,10,-8.938,1,0.035,0.674,0.000801,0.233,0.298,140.023
稻香,Jay Chou,0.67,0.626,9,-5.027,1,0.0628,0.286,0.0,0.0843,0.205,163.985
擱淺,Jay Chou,0.497,0.49,5,-7.161,1,0.0276,0.671,0.000417,0.155,0.126,122.71
說好不哭,Jay Chou;Ashin Chen,0.513,0.363,10,-11.219,1,0.0306,0.53,0.0,0.0792,0.383,151.828
半島鐵盒,Jay Chou,0.784,0.439,8,-7.872,1,0.0357,0.432,4.63e-06,0.313,0.491,129.981
髮如雪,Jay Chou,0.714,0.7,11,-5.296,1,0.0518,0.565,1.88e-06,0.387,0.351,116.052
蒲公英的約定,Jay Chou,0.569,0.507,0,-7.191,1,0.0239,0.128,0.0,0.0999,0.15,135.977
反方向的鐘,Jay Chou,0.57,0.887,7,-7.993,0,0.0448,0.0908,3.41e-06,0.197,0.182,94.607
安靜,Jay Chou,0.507,0.402,10,-7.869,1,0.0279,0.613,8.85e-06,0.11,0.124,143.86
不能說的秘密,Jay Chou,0.547,0.588,7,-8.323,1,0.0246,0.288,0.0,0.146,0.183,143.922
暗號,Jay Chou,0.724,0.564,4,-6.881,1,0.0308,0.503,2.49e-05,0.203,0.529,125.988
愛在西元前,Jay Chou,0.769,0.681,8,-8.266,1,0.0339,0.177,2.68e-05,0.122,0.723,126.811
楓,Jay Chou,0.502,0.435,0,-7.177,1,0.0292,0.76,0.0,0.135,0.145,134.425
修煉愛情,JJ Lin,0.471,0.648,3,-3.968,1,0.0342,0.63,0.0,0.122,0.239,135.053
可惜沒如果,JJ Lin,0.486,0.424,0,-5.755,1,0.0262,0.617,0.0,0.116,0.286,79.989
Bedroom (feat. Anne-Marie),JJ Lin;Anne-Marie,0.369,0.424,7,-5.431,1,0.0318,0.64,0.0,0.184,0.181,179.597
手心的薔薇,JJ Lin;G.E.M.,0.422,0.499,7,-5.702,1,0.0278,0.849,0.0,0.276,0.17,86.948
富士山下,Eason Chan,0.475,0.44,5,-10.48,1,0.0354,0.499,0.0,0.25,0.528,103.371
十年,Eason Chan,0.6,0.468,8,-9.126,1,0.0335,0.865,3.13e-06,0.104,0.203,123.987
那些你很冒險的夢,JJ Lin,0.426,0.487,2,-5.276,1,0.0361,0.785,0.0,0.259,0.28,135.103
粉色海洋,Jay Chou,0.584,0.598,5,-8.868,1,0.0564,0.0469,0.11,0.31,0.355,166.015
錯過的煙火,Jay Chou,0.451,0.809,5,-7.71,0,0.0383,0.0147,1.79e-05,0.175,0.307,180.092
我是如此相信,Jay Chou,0.49,0.538,0,-8.888,1,0.0291,0.145,3.65e-05,0.102,0.107,137.968
單車,Eason Chan,0.635,0.35,7,-10.591,1,0.0284,0.754,0.0,0.0743,0.307,130.067
說好的幸福呢,Jay Chou,0.543,0.473,9,-7.958,0,0.0282,0.345,0.0,0.134,0.24,117.61
江南,JJ Lin,0.621,0.517,7,-9.433,0,0.0371,0.75,0.0,0.315,0.404,120.021
她說,JJ Lin,0.335,0.326,0,-7.223,1,0.0331,0.948,0.0,0.0619,0.326,169.267
可愛女人,Jay Chou,0.767,0.671,5,-9.995,1,0.0317,0.552,3.23e-05,0.201,0.921,135.468
無條件,Eason Chan,0.646,0.37,0,-10.98,1,0.0351,0.825,5.17e-06,0.09,0.465,129.914
不為誰而作的歌,JJ Lin,0.402,0.641,2,-5.905,1,0.0335,0.534,0.0,0.112,0.252,145.054
龍捲風,Jay Chou,0.637,0.557,9,-6.585,1,0.0314,0.681,0.0,0.102,0.544,143.945
最長的電影,Jay Chou,0.533,0.359,9,-9.45,1,0.0314,0.19,0.0,0.118,0.165,120.858
我不配,Jay Chou,0.731,0.489,10,-8.361,1,0.0244,0.511,3.04e-06,0.0775,0.363,108.019
退後,Jay Chou,0.661,0.572,0,-5.665,1,0.0246,0.406,0.0,0.111,0.186,131.954
Bedroom (feat. Anne-Marie),JJ Lin;Anne-Marie,0.369,0.424,7,-5.431,1,0.0318,0.64,0.0,0.184,0.181,179.597
回到過去,Jay Chou,0.52,0.459,11,-7.017,1,0.0295,0.843,0.0,0.0851,0.187,170.154
園遊會,Jay Chou,0.656,0.677,11,-6.848,1,0.0301,0.141,0.00153,0.175,0.608,122.026
軌跡,Jay Chou,0.445,0.476,9,-6.964,1,0.0268,0.21,0.000127,0.0788,0.17,75.208
花 海,Jay Chou,0.504,0.498,9,-7.059,1,0.0243,0.184,0.0,0.334,0.192,74.979
不該,Jay Chou;A-Mei Chang,0.441,0.619,4,-6.609,1,0.0293,0.19,0.0,0.118,0.187,75.027
彩虹,Jay Chou,0.612,0.279,0,-10.306,1,0.0386,0.778,0.0,0.121,0.345,147.916
給我一首歌的時間,Jay Chou,0.756,0.635,1,-5.369,1,0.0282,0.272,0.0,0.146,0.519,118.004
等你下課,Jay Chou;Gary Yang,0.586,0.415,8,-10.053,1,0.0325,0.504,0.0,0.103,0.465,147.909
倒影,Jay Chou,0.728,0.506,9,-8.725,1,0.0309,0.0148,0.00132,0.485,0.363,123.96
Mojito,Jay Chou,0.807,0.631,0,-7.146,1,0.0279,0.459,0.0,0.279,0.801,115.003
當你,JJ Lin,0.651,0.476,0,-7.131,1,0.028,0.739,0.0,0.103,0.365,133.964
不愛我就拉倒,Jay Chou,0.429,0.719,2,-7.999,1,0.0327,0.313,0.0,0.109,0.26,172.064
以父之名,Jay Chou,0.432,0.564,2,-7.369,0,0.0407,0.298,0.233,0.356,0.398,174.96
蘭亭序,Jay Chou,0.43,0.54,2,-8.058,1,0.0328,0.317,0.0,0.375,0.342,152.051
聽媽媽的話,Jay Chou,0.719,0.64,10,-6.615,1,0.0287,0.391,6.52e-05,0.11,0.595,92.989
黑色毛衣,Jay Chou,0.733,0.48,9,-7.425,0,0.0309,0.737,0.0,0.15,0.273,118.022
夜的第七章,Jay Chou,0.648,0.628,0,-5.082,0,0.032,0.452,1.78e-05,0.0981,0.477,85.001
開不了口,Jay Chou,0.578,0.525,9,-8.081,1,0.0273,0.598,3.33e-06,0.226,0.362,139.95
好久不見,Eason Chan,0.312,0.242,0,-14.149,1,0.0327,0.772,0.00454,0.184,0.113,114.469
明明就,Jay Chou,0.543,0.428,9,-8.966,1,0.0262,0.14,0.0,0.0876,0.173,112.985
藉口,Jay Chou,0.461,0.584,2,-6.724,1,0.0273,0.617,0.0,0.109,0.169,130.927
最佳損友,Eason Chan,0.605,0.542,4,-7.961,1,0.0339,0.81,7.92e-05,0.116,0.324,144.154
星晴,Jay Chou,0.637,0.329,7,-10.366,1,0.0349,0.725,8.51e-06,0.245,0.255,177.792
淘汰,Eason Chan,0.512,0.551,9,-5.483,1,0.0295,0.192,0.0,0.302,0.206,117.978
妳聽得到,Jay Chou,0.718,0.368,10,-9.395,1,0.0298,0.409,0.00168,0.111,0.224,115.993
說了再見,Jay Chou,0.545,0.507,2,-7.964,1,0.0279,0.492,0.0,0.135,0.151,124.041
聽見下雨的聲音,Jay Chou,0.367,0.726,4,-6.773,1,0.0341,0.0294,0.0,0.337,0.271,172.121
最偉大的作品,Jay Chou,0.432,0.58,7,-7.295,0,0.0671,0.5,0.00774,0.105,0.23,159.908
愛情轉移(國),Eason Chan,0.479,0.481,5,-8.072,1,0.0309,0.709,0.0,0.48,0.357,105.255
美人魚,JJ Lin,0.624,0.647,9,-6.584,0,0.0357,0.451,0.0,0.383,0.452,95.021
關鍵詞,JJ Lin,0.464,0.452,0,-8.628,1,0.031,0.824,0.0,0.135,0.327,135.885
浪漫手機,Jay Chou,0.565,0.504,10,-8.324,1,0.0325,0.656,0.000189,0.117,0.378,170.025
她的睫毛,Jay Chou,0.44,0.731,9,-5.381,1,0.0285,0.0435,0.031,0.0884,0.373,152.215
東風破,Jay Chou,0.7,0.41,7,-8.164,1,0.0274,0.0988,0.13,0.11,0.361,146.003
說好不哭,Jay Chou;Ashin Chen,0.512,0.35,10,-11.843,1,0.0311,0.478,1.15e-06,0.0855,0.343,152.023
葡萄成熟時,Eason Chan,0.521,0.567,10,-5.97,1,0.0307,0.417,0.0,0.183,0.223,125.194
世界末日,Jay Chou,0.332,0.464,7,-8.136,1,0.0295,0.588,2.83e-06,0.929,0.151,135.728
陽光宅男,Jay Chou,0.667,0.836,1,-6.386,0,0.0292,0.219,0.0,0.121,0.747,134.014
煙花易冷,Jay Chou,0.578,0.465,4,-9.166,0,0.0335,0.514,0.000451,0.112,0.196,76.984
任我行,Eason Chan,0.417,0.375,5,-11.861,1,0.0344,0.766,2.41e-05,0.133,0.464,130.416
小酒窩,JJ Lin;Charlene Choi,0.637,0.442,3,-6.073,1,0.0254,0.732,0.0,0.127,0.338,95.201
明年今日,Eason Chan,0.67,0.397,8,-10.87,1,0.0417,0.71,0.0,0.11,0.214,123.969
千里之外,Jay Chou,0.686,0.547,2,-6.461,1,0.0301,0.343,0.0,0.0944,0.169,117.966
裹著心的光,JJ Lin,0.428,0.498,0,-5.742,1,0.0304,0.169,0.0,0.0903,0.314,135.936
不潮不用花錢,JJ Lin,0.789,0.701,9,-5.177,0,0.0318,0.201,1.93e-06,0.0814,0.646,112.005
手寫的從前,Jay Chou,0.648,0.515,0,-9.137,1,0.025,0.649,0.0,0.107,0.218,94.0
愛情廢柴,Jay Chou,0.411,0.671,2,-6.207,1,0.0319,0.0115,0.0,0.11,0.397,73.947
紅塵客棧,Jay Chou,0.432,0.468,0,-8.602,1,0.0259,0.387,0.000148,0.185,0.274,180.016
黑夜問白天,JJ Lin,0.452,0.54,9,-7.004,0,0.0351,0.402,0.0,0.106,0.194,134.553
陀飛輪,Eason Chan,0.544,0.309,0,-8.7,1,0.0349,0.936,0.0,0.115,0.376,134.277
浮誇,Eason Chan,0.405,0.562,4,-6.222,0,0.0373,0.229,0.0,0.122,0.243,201.02
背對背擁抱,JJ Lin,0.392,0.564,3,-4.787,1,0.0333,0.644,0.0,0.226,0.349,129.549
我們 - 《後來的我們》電影主題曲,Eason Chan,0.355,0.0962,9,-14.729,1,0.0395,0.956,1.76e-05,0.0866,0.201,144.58
醉赤壁,JJ Lin,0.523,0.449,5,-7.771,0,0.0271,0.48,0.0,0.0806,0.451,82.041
苦瓜,Eason Chan,0.379,0.427,2,-9.284,1,0.048,0.646,0.0,0.109,0.459,185.952
菊花台,Jay Chou,0.406,0.354,5,-6.814,1,0.0277,0.569,0.0,0.225,0.222,137.746
我落淚˙情緒零碎,Jay Chou,0.557,0.668,11,-8.51,1,0.0267,0.177,1.79e-05,0.397,0.454,133.943
白色風車,Jay Chou,0.536,0.613,2,-5.791,1,0.0247,0.297,0.0,0.147,0.252,141.991
等你下課,Jay Chou;Gary Yang,0.589,0.465,8,-8.416,1,0.0325,0.477,0.0,0.101,0.416,147.921
斷了的弦,Jay Chou,0.654,0.632,9,-6.784,1,0.0247,0.396,7.95e-06,0.0735,0.324,97.028
爺爺泡的茶,Jay Chou,0.621,0.667,2,-3.83,1,0.0815,0.244,8.08e-05,0.0859,0.601,169.987
愛的飛行日記,Jay Chou,0.639,0.791,8,-5.968,1,0.0335,0.231,0.0,0.111,0.305,113.021
愛笑的眼睛,JJ Lin,0.648,0.423,1,-7.114,1,0.0312,0.759,0.0,0.103,0.397,132.633
K歌之王,Eason Chan,0.346,0.349,2,-9.428,1,0.0355,0.754,1.46e-06,0.381,0.271,78.634
黑色幽默,Jay Chou,0.603,0.292,10,-7.622,1,0.0282,0.406,0.0,0.136,0.231,127.905
算什麼男人,Jay Chou,0.523,0.572,1,-6.834,1,0.0274,0.356,1.29e-06,0.121,0.306,106.943
浪漫血液,JJ Lin,0.473,0.58,4,-4.802,1,0.0313,0.461,0.0,0.0986,0.22,135.821
Shall We Talk,Eason Chan,0.329,0.309,0,-10.255,1,0.0355,0.816,0.0,0.141,0.496,172.599
分裂,Jay Chou,0.637,0.438,1,-8.504,1,0.0282,0.515,7.15e-06,0.0959,0.145,122.699
上海一九四三,Jay Chou,0.602,0.373,2,-9.13,1,0.0326,0.393,0.0,0.269,0.358,174.035
止戰之殤,Jay Chou,0.477,0.725,1,-6.677,0,0.0447,0.483,9.02e-05,0.109,0.337,88.956
大笨鐘,Jay Chou,0.579,0.617,4,-6.78,1,0.0354,0.0527,9.74e-06,0.0967,0.248,148.019
外婆,Jay Chou,0.55,0.711,11,-7.943,0,0.0333,0.632,0.00312,0.116,0.507,161.664
飄移,Jay Chou,0.619,0.868,10,-5.021,0,0.172,0.105,0.0951,0.398,0.794,185.985
甜甜的,Jay Chou,0.694,0.574,4,-9.422,1,0.0265,0.0409,1.35e-05,0.19,0.77,116.048
超人不會飛,Jay Chou,0.667,0.363,0,-9.431,1,0.0323,0.345,0.000738,0.385,0.366,156.015
