,PC1,PC2,PC3
Danceability,0.30561588263744077,0.569181928654619,-0.011619284228182937
Energy,0.4978201372639086,-0.18290873857591414,0.025206639379698827
Loudness,0.44726043505182467,-0.06742121135053325,-0.16714124781885845
Speechiness,0.26404116184673626,-0.4517133099458629,-0.0009216462609951074
Acousticness,-0.46283280968001306,0.09607189634356997,-0.0670876312640327
Instrumentalness,0.026519576821050272,-0.3025031703172631,0.7188047243938566
Liveness,0.1255705805963892,-0.1836489639238745,0.19299949197701644
Valence,0.3894568499181114,0.2644686311224258,-0.15216655330633216
Tempo,-0.08156166361498063,-0.4791421659656223,-0.6242660694630678
